Time,Category,Message,
7/28/2026 12:17:32 AM,Order,Order='70c4956937774d688896da07f18ecbdd/Sim102' Name='Target1' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Position,Instrument='MES SEP26' Account='Sim101' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/28/2026 12:17:28 AM,Order,Order='0c23fff9678e4e239a623935b938bb76/Sim101' Name='PTT-BE-Target-2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Execution,Execution='4d11b2e6366a46c29c1609846c14c4ea' Instrument='MES SEP26' Account='Sim101' Exchange=Default Price=7437.5 Quantity=7 Market position=Short Operation=Operation_Add Order='6897f116825b4b7ab7205b80b5e58a63' Time='7/28/2026 12:17 AM',
7/28/2026 12:17:28 AM,Order,Order='0c23fff9678e4e239a623935b938bb76/Sim101' Name='PTT-BE-Target-2' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Order,Order='6897f116825b4b7ab7205b80b5e58a63/Sim101' Name='PTT-BE-Stop-2' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=7 Fill price=7437.5 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Position,Instrument='MES SEP26' Account='Sim101' Average price=7437.5 Quantity=7 Market position=Long Operation=Update,
7/28/2026 12:17:28 AM,Order,Order='e0b7ac3043b446819f679fa1084fb90c/Sim101' Name='PTT-BE-Target-1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Order,Order='e0b7ac3043b446819f679fa1084fb90c/Sim101' Name='PTT-BE-Target-1' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=7440 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:28 AM,Execution,Execution='b6f17d6914c445e78935ec9d46f83084' Instrument='MES SEP26' Account='Sim101' Exchange=Default Price=7437.5 Quantity=6 Market position=Short Operation=Operation_Add Order='da9326f1763f4017864da424f86cbcbd' Time='7/28/2026 12:17 AM',
